id,text,label
train_000000,Dung dc sp tot cam on shop Đóng_gói sản_phẩm rất đẹp và chắc_chắn Chất_lượng sản_phẩm tuyệt_vời,0
train_000001,Chất_lượng sản_phẩm tuyệt_vời . _Son mịn nhưng khi đánh lên không như màu trên ảnh,0
train_000002,Chất_lượng sản_phẩm tuyệt_vời nhưng k có hộp k có dây giày đen k có tất,0
train_000003,: ( ( Mình hơi thất_vọng 1 chút vì mình đã kỳ_vọng cuốn sách khá nhiều hi_vọng nó sẽ nói về việc học_tập của cách sinh_viên trường Harvard ra sao những nỗ_lực của họ như_thế_nào 4h sáng ? tại_sao họ lại phải thức dậy vào thời_khắc đấy ? sau đó là cả một câu_chuyện ra sao . Cái mình thực_sự cần ở đây là câu_chuyện ẩn dấu trong đó để tự bản_thân mỗi người cảm_nhận và đi_sâu vào lòng người hơn . Còn cuốn sách này chỉ đơn_thuần là cuốn sách dạy kĩ_năng mà hầu_như sách nào cũng đã có . BUồn ...,1
train_000004,Lần trước mình mua áo_gió màu hồng rất ok mà đợt này lại giao 2 cái áo_gió chất khác như vải mưa ý : ( (,1
train_000005,Chất_lượng sản_phẩm tuyệt_vời có_điều không cứng_cáp với không cố_định dáng nói_chung đẹp hợp túi_tiền,0
train_000006,Đã nhận đc hàng rất nhanh mới đặt buổi tối mà trưa mai là có rồi = } } Đóng_gói sản_phẩm rất đẹp và chắc_chắn Shop phục_vụ rất tốt,0
train_000007,"Các siêu phẩm thấy cấu_hình toàn tựa tựa nhau . Ko còn sự đột_phá lớn nữa . Chỉ là nâng_cấp . Khác nhau về kiểu_dáng . Htc này vs giá trên thật lòng khó cạnh_tranh mạnh vs siêu phẩm khác , chỉ dành cho fan của họ thôi .",1
train_000008,Hàng ship nhanh chất_lượng tốt tư_vấn nhiệt_tình ship rất đung size sẽ ủng_hộ shop nhìu ❤️,0
train_000009,Đồng_hồ đẹp nhưng 1 cái đứt dây 1 cái k chạy mua ve phải sửa,1
train_000010,Chất_lượng sản_phẩm tuyệt vời.y hình chụp.đáng tiền,0
train_000011,Hjhj shop giao hàng nhanh quá . Đẹp lắm ạ bé nhà m rất thích,0
train_000012,""" nhìn đẹp phết nhỉ .. """,0
train_000013,Đóng_gói rất đẹp . Chất_lượng sản_phẩm rất tốt Chất_lượng sản_phẩm tuyệt_vời,0
train_000014,Săn đc với giá 11k . Toẹt vời,0
train_000015,OK rất hài_lòng,0
train_000016,Giao thiếu mình cái này rồi shop ơi T ^ T,1
train_000017,Chất_lượng sản_phẩm tuyệt_vời tôi rất thích,0
train_000018,Giày đẹp lắm có_điều dây hơi ngắn tí ạ  Chất_lượng sản_phẩm tuyệt_vời,0
train_000019,Yếm vải đẹp nhưng ít mẫu đẹp,0
train_000020,Chất_lượng sản_phẩm tuyệt_vời Đóng_gói sản_phẩm rất đẹp và chắc_chắn Shop phục_vụ rất tốt Rất đáng tiền Rất đáng tiền . Giao hàng hôm sau là có,0
train_000021,không hài_lòng sản_phẩm cho lắm . giặt lan đầu_tiên da nhoe màu hết rồi .,1
train_000022,"Giao hàng nhanh , mặc đẹp Cám_ơn shop",0
train_000023,Chất_lượng sản_phẩm tuyệt_vời bao_bì cute phô_mai que_son đánh mịn cực không có bị bột à còn giao hành max nhanh luôn,0
train_000024,Đồng_hồ thì đẹp thật . Nhưng tại_sao kim lúc chạy lúc đứng . Nhắn_tin thì ko trả_lời . Mấy bạn lưu_ý đừng mua nữa .,1
train_000025,Giao hàng siêu nhanh . Đóng_gói cẩn_thận và tư_vấn nhiệt_tình . Hạt điều thấm vị và giòn .,0
train_000026,""" Cũng hơi bất_tiện xu_thế này e rằng đa phằn người dùng sẽ không ưa_thích """,1
train_000027,Toàn hàng trungkhi mua quên ko coi kĩ,1
train_000028,Đóng_gói sản_phẩm rất đẹp và chắc_chắn . Được shop tặng thêm quà nữa ,0
